sequence,jobId,sourceMime,w,h,fps,sourceSize,hdr,terminal,verdict,verified,plannedTargetRatio,pixelProvenRatio,probedRatios,probeDetail,probeWindowScores,certWindowScores,savedBytes,savedPct,elapsedMs,precedingCooldownMs,thermalStart,thermalEnd
124,job_521fb7d5db06,video/avc,1280,720,30,107165138,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,90.0/77.9/77.3,,0,0,4844,0,,
125,job_a5833f1abcd1,video/avc,1280,720,30,1854368,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,,"probes skipped: this profile class measured visible loss at every candidate in 3 consecutive recent ladders (skip 1/3, then re-probes)",,,0,0,300,0,warm,warm
126,job_8a3041e3a38a,video/avc,1920,1080,30,30704510,False,UNEXPECTED_REMUX,Remux Verified,True,0.9,,"0.70,0.80,0.90,0.95",no candidate ratio passed,,95.0/94.4/92.9;95.0/94.5/93.0;95.3/94.5/93.1,0,0,24616,0,warm,warm
127,job_844babebca82,video/avc,1920,1080,30,30704510,False,UNEXPECTED_REMUX,Remux Verified,True,0.9500000000000001,,"0.70,0.80,0.90,0.95",no candidate ratio passed,,95.2/94.6/93.5;95.2/94.7/93.4;95.4/94.7/93.5,0,0,24188,25000,warm,warm
128,job_6f82ffe0838b,video/hevc,1920,1080,30,31462182,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,"0.75,0.85,0.95,0.97",no candidate ratio passed,,,0,0,12705,25000,warm,warm
129,job_ec299b1a0032,video/hevc,1920,1080,30,31462182,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,"0.75,0.85,0.95,0.97",no candidate ratio passed,,,0,0,13069,0,warm,warm
130,job_e6ecde24503c,video/avc,1920,1080,30,30704510,False,SKIPPED_WOULD_DEGRADE,Perceptually Lossless Verified,True,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,,95.3/94.7/93.5;95.4/94.8/93.4;95.5/94.7/93.5,0,0,24314,0,,
131,job_12146cda4b3c,video/avc,1360,768,10,30967302,False,TRANSCODED_SMALLER,Perceptually Lossless Verified,True,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,,97.8/94.3/94.3;99.3/93.5/93.5;98.2/93.9/93.9,3059251,0.09878971697308342,10152,0,warm,warm
132,job_7c8cf4aa216f,video/avc,1080,1080,60,10727621,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,,,,,0,0,1514,25000,warm,warm
133,job_ece1952a0dbb,video/avc,360,640,30,12076728,False,SKIPPED_WOULD_DEGRADE,,False,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,94.9/91.7/89.3,,0,0,4725,0,,
